Date,Open,High,Low,Close,Adj Close,Volume
3/5/2019,2005,2007,1976.599976,1988.099976,1779.321777,2449622
3/6/2019,1989.300049,2015,1985.050049,1999.599976,1789.61438,2635047
3/7/2019,2005,2024.050049,2000.199951,2013.300049,1801.875488,2539884
3/8/2019,2025,2033,2010.050049,2022.699951,1810.28833,2031071
3/11/2019,2028.900024,2033,2003.650024,2014.800049,1803.217896,3111689
3/12/2019,2014.050049,2024.800049,2003,2012.449951,1801.115112,2658550
3/13/2019,2013,2015.900024,1978.599976,2000.5,1790.4198,1833163
3/14/2019,2004.949951,2007.800049,1981,1987.400024,1778.695557,1905495
3/15/2019,1998.900024,2068.949951,1991,2039.949951,1825.726807,5184318
3/18/2019,2043,2064.600098,2011,2022.800049,1810.378052,2349915
3/19/2019,2030,2030,1995.099976,2022.800049,1810.378052,2373993
3/20/2019,2028,2044.800049,2000,2015.050049,1803.442139,3091165
3/22/2019,2015,2016,1983.300049,2005.650024,1795.029053,3148149
3/25/2019,2007.800049,2007.800049,1977.199951,1984.25,1775.876709,2429205
3/26/2019,1984,1994.949951,1958.050049,1982.650024,1774.44458,2316539
3/27/2019,1994,1998,1961,1967.900024,1761.243408,2266166
3/28/2019,1980,2014.599976,1972.800049,2000.300049,1790.240845,4054489
4/1/2019,2010,2039.949951,2008.25,2031.650024,1818.298584,2095740
4/2/2019,2037.099976,2086,2037,2079.300049,1860.944702,3719663
4/3/2019,2085,2089.600098,2058.100098,2079.300049,1860.944702,2939886
4/4/2019,2078.149902,2079.699951,2007.400024,2014.5,1802.949585,4397518
4/5/2019,2028.650024,2054.399902,2018.800049,2048.300049,1833.199951,3152103
4/8/2019,2059,2075,2032.699951,2070.75,1853.292358,2194294
4/9/2019,2070,2098,2057.649902,2091.5,1871.863525,2690970
4/10/2019,2083,2085.5,2036,2040.25,1825.995483,3313062
4/11/2019,2045,2055,2013.650024,2019.5,1807.424316,3422442
4/12/2019,2038,2039,2007,2014.5,1802.949585,3198471
4/15/2019,2070,2119.800049,2041,2113.300049,1891.37439,9189201
4/16/2019,2120,2155.949951,2115.550049,2131.800049,1907.931396,5771952
4/18/2019,2149.899902,2155,2114.199951,2150.050049,1924.265137,3413728
4/22/2019,2148,2176,2145.600098,2161.449951,1934.467651,2007135
4/23/2019,2163,2165.5,2134.050049,2155.050049,1928.73999,2163524
4/24/2019,2158,2195,2156.100098,2183.449951,1954.157349,3003071
4/25/2019,2175,2205,2168.050049,2195,1964.494751,4211526
4/26/2019,2203,2243.949951,2193.149902,2238.550049,2003.471436,2716958
4/30/2019,2238.550049,2266.949951,2230.100098,2260.350098,2022.981689,3488395
5/2/2019,2255,2259.399902,2211.100098,2215.399902,1982.752075,2457699
5/3/2019,2185,2186.050049,2125,2132,1908.110474,3780886
5/6/2019,2110,2165,2108.5,2157.850098,1931.24585,2891422
5/7/2019,2160.050049,2184.350098,2138.800049,2151.949951,1925.96521,2201698
5/8/2019,2151,2168,2130.399902,2152.850098,1926.771118,1824895
5/9/2019,2145,2184.100098,2136.100098,2172.550049,1944.402344,2264162
5/10/2019,2175,2192,2125.850098,2135.800049,1911.51123,2039633
5/13/2019,2133,2167,2121.649902,2128.75,1905.20166,1701744
5/14/2019,2135,2159.800049,2072.350098,2092.350098,1872.62439,2456110
5/15/2019,2097,2124,2084.5,2095.399902,1875.354126,2346876
5/16/2019,2096,2124,2077.050049,2108.75,1887.302124,1946529
5/17/2019,2112.600098,2135,2090,2095.449951,1875.398438,1947908
5/20/2019,2125,2151.399902,2050,2143.949951,1918.805786,2625116
5/21/2019,2148.050049,2148.699951,2102.550049,2109.75,1888.197021,1863157
5/22/2019,2110,2121.949951,2075,2081.75,1863.137573,2595795
5/23/2019,2098,2115.350098,2050,2054.050049,1838.346436,2541294
5/24/2019,2070,2070,2032.25,2048,1832.931763,2274208
5/27/2019,2054.800049,2068.949951,2040.099976,2055.149902,1839.330811,2329820
5/28/2019,2060,2097.5,2045,2073.75,1855.977905,5872979
5/29/2019,2080,2123.699951,2077.100098,2107.550049,1886.227661,3281320
5/30/2019,2123,2156.550049,2114.399902,2146.300049,1920.909302,4971725
5/31/2019,2160,2204.949951,2152.25,2196.550049,1965.881592,4265370
6/3/2019,2201,2247.649902,2185.649902,2242.300049,2006.827759,3682419
6/4/2019,2224,2224,2175,2183.100098,1969.655762,2408658
6/6/2019,2199,2199,2152,2166.100098,1954.318115,3735467
6/7/2019,2174,2189.800049,2142.100098,2181.75,1968.437866,2659446
6/10/2019,2196.699951,2235.850098,2185.5,2231.5,2013.322998,2080593
6/11/2019,2237,2263.949951,2231,2252.800049,2032.541382,3048937
6/12/2019,2245,2266.899902,2219,2260.899902,2039.848999,2404448
6/13/2019,2264,2285,2243.050049,2254.100098,2033.714233,3320916
6/14/2019,2257.25,2263.100098,2234,2254.5,2034.074463,2131408
6/17/2019,2256,2262,2241.449951,2249.199951,2029.293335,1489497
6/18/2019,2244,2260,2231.199951,2250.850098,2030.781738,1877447
6/19/2019,2255,2276,2243.149902,2259.899902,2038.947144,1652817
6/20/2019,2230,2284,2212,2277.949951,2055.232178,2199377
6/21/2019,2285,2292.5,2242,2249.850098,2029.879639,3871804
6/24/2019,2254.149902,2280,2250.800049,2275.5,2053.021484,1382424
6/25/2019,2270,2274.449951,2250.5,2267.800049,2046.074341,1386077
6/26/2019,2265,2266.800049,2250,2254.199951,2033.804321,1762224
6/27/2019,2255,2264,2241.300049,2252.550049,2032.315674,2813464
6/28/2019,2260,2261.949951,2222.5,2227.199951,2009.444458,2372928
7/1/2019,2235,2255,2206.600098,2239.550049,2020.586792,2769940
7/2/2019,2244.899902,2257,2216.449951,2252.100098,2031.910156,1771746
7/3/2019,2252.199951,2258.800049,2232,2237.649902,2018.872681,1656881
7/4/2019,2234,2252,2230.100098,2242.649902,2023.383179,984140
7/5/2019,2247,2250,2140,2163.100098,1951.610718,4088470
7/8/2019,2149,2188.800049,2132.100098,2175.399902,1962.70874,2788062
7/9/2019,2174,2174.399902,2104.550049,2133.350098,1924.770142,3977224
7/10/2019,2080,2127.850098,2071.300049,2108.199951,1902.078735,6343581
7/11/2019,2128,2129,2086.050049,2102.550049,1896.981201,2400346
7/12/2019,2102.100098,2119.75,2093.100098,2107.600098,1901.537598,1560725
7/15/2019,2125,2153.600098,2098,2145.699951,1935.912231,2900415
7/16/2019,2126,2132.5,2100,2106,1904.532227,2735399
7/17/2019,2108,2125,2092.100098,2117.25,1914.705811,1802969
7/18/2019,2116.199951,2116.199951,2060,2065.949951,1868.312988,3072096
7/19/2019,2077,2097,2062.5,2076.949951,1878.260986,1953177
7/22/2019,2077,2117.449951,2068.800049,2109.899902,1908.058594,1920167
7/23/2019,2127.899902,2130,2102.399902,2112.449951,1910.36499,3538588
7/24/2019,2110,2120.800049,2076.5,2096.800049,1896.212158,2413196
7/25/2019,2108.899902,2135,2092.550049,2127.899902,1924.33667,2544464
