Date,Open,High,Low,Close,Adj Close,Volume
05/03/19,2005,2007,1976.599976,1988.099976,1779.321899,2449622
06/03/19,1989.300049,2015,1985.050049,1999.599976,1789.614136,2635047
07/03/19,2005,2024.050049,2000.199951,2013.300049,1801.875977,2539884
08/03/19,2025,2033,2010.050049,2022.699951,1810.288452,2031071
11/03/19,2028.900024,2033,2003.650024,2014.800049,1803.218384,3111689
12/03/19,2014.050049,2024.800049,2003,2012.449951,1801.114868,2658550
13/03/19,2013,2015.900024,1978.599976,2000.5,1790.419678,1833163
14/03/19,2004.949951,2007.800049,1981,1987.400024,1778.695679,1905495
15/03/19,1998.900024,2068.949951,1991,2039.949951,1825.726929,5184318
18/03/19,2043,2064.600098,2011,2022.800049,1810.378052,2349915
19/03/19,2030,2030,1995.099976,2022.800049,1810.378052,2373993
20/03/19,2028,2044.800049,2000,2015.050049,1803.441895,3091165
22/03/19,2015,2016,1983.300049,2005.650024,1795.029053,3148149
25/03/19,2007.800049,2007.800049,1977.199951,1984.25,1775.876099,2429205
26/03/19,1984,1994.949951,1958.050049,1982.650024,1774.444092,2316539
27/03/19,1994,1998,1961,1967.900024,1761.243408,2266166
28/03/19,1980,2014.599976,1972.800049,2000.300049,1790.241089,4054489
01/04/19,2010,2039.949951,2008.25,2031.650024,1818.298828,2095740
02/04/19,2037.099976,2086,2037,2079.300049,1860.944946,3719663
03/04/19,2085,2089.600098,2058.100098,2079.300049,1860.944946,2939886
04/04/19,2078.149902,2079.699951,2007.400024,2014.5,1802.949585,4397518
05/04/19,2028.650024,2054.399902,2018.800049,2048.300049,1833.200317,3152103
08/04/19,2059,2075,2032.699951,2070.75,1853.29248,2194294
09/04/19,2070,2098,2057.649902,2091.5,1871.863647,2690970
10/04/19,2083,2085.5,2036,2040.25,1825.995605,3313062
11/04/19,2045,2055,2013.650024,2019.5,1807.424805,3422442
12/04/19,2038,2039,2007,2014.5,1802.949585,3198471
15/04/19,2070,2119.800049,2041,2113.300049,1891.374268,9189201
16/04/19,2120,2155.949951,2115.550049,2131.800049,1907.931641,5771952
18/04/19,2149.899902,2155,2114.199951,2150.050049,1924.265015,3413728
22/04/19,2148,2176,2145.600098,2161.449951,1934.467529,2007135
23/04/19,2163,2165.5,2134.050049,2155.050049,1928.73999,2163524
24/04/19,2158,2195,2156.100098,2183.449951,1954.157715,3003071
25/04/19,2175,2205,2168.050049,2195,1964.494629,4211526
26/04/19,2203,2243.949951,2193.149902,2238.550049,2003.471191,2716958
30/04/19,2238.550049,2266.949951,2230.100098,2260.350098,2022.981934,3488395
02/05/19,2255,2259.399902,2211.100098,2215.399902,1982.752441,2457699
03/05/19,2185,2186.050049,2125,2132,1908.110596,3780886
06/05/19,2110,2165,2108.5,2157.850098,1931.245605,2891422
07/05/19,2160.050049,2184.350098,2138.800049,2151.949951,1925.965332,2201698
08/05/19,2151,2168,2130.399902,2152.850098,1926.771118,1824895
09/05/19,2145,2184.100098,2136.100098,2172.550049,1944.402466,2264162
10/05/19,2175,2192,2125.850098,2135.800049,1911.511597,2039633
13/05/19,2133,2167,2121.649902,2128.75,1905.20166,1701744
14/05/19,2135,2159.800049,2072.350098,2092.350098,1872.624756,2456110
15/05/19,2097,2124,2084.5,2095.399902,1875.354004,2346876
16/05/19,2096,2124,2077.050049,2108.75,1887.302124,1946529
17/05/19,2112.600098,2135,2090,2095.449951,1875.398804,1947908
20/05/19,2125,2151.399902,2050,2143.949951,1918.805786,2625116
21/05/19,2148.050049,2148.699951,2102.550049,2109.75,1888.197144,1863157
22/05/19,2110,2121.949951,2075,2081.75,1863.137573,2595795
23/05/19,2098,2115.350098,2050,2054.050049,1838.346313,2541294
24/05/19,2070,2070,2032.25,2048,1832.931641,2274208
27/05/19,2054.800049,2068.949951,2040.099976,2055.149902,1839.330688,2329820
28/05/19,2060,2097.5,2045,2073.75,1855.977295,5872979
29/05/19,2080,2123.699951,2077.100098,2107.550049,1886.228271,3281320
30/05/19,2123,2156.550049,2114.399902,2146.300049,1920.908813,4971725
31/05/19,2160,2204.949951,2152.25,2196.550049,1965.881958,4265370
03/06/19,2201,2247.649902,2185.649902,2242.300049,2006.828003,3682419
04/06/19,2224,2224,2175,2183.100098,1969.655518,2408658
06/06/19,2199,2199,2152,2166.100098,1954.317993,3735467
07/06/19,2174,2189.800049,2142.100098,2181.75,1968.437866,2659446
10/06/19,2196.699951,2235.850098,2185.5,2231.5,2013.323608,2080593
11/06/19,2237,2263.949951,2231,2252.800049,2032.54126,3048937
12/06/19,2245,2266.899902,2219,2260.899902,2039.848999,2404448
13/06/19,2264,2285,2243.050049,2254.100098,2033.713867,3320916
14/06/19,2257.25,2263.100098,2234,2254.5,2034.074707,2131408
17/06/19,2256,2262,2241.449951,2249.199951,2029.292969,1489497
18/06/19,2244,2260,2231.199951,2250.850098,2030.78186,1877447
19/06/19,2255,2276,2243.149902,2259.899902,2038.946411,1652817
20/06/19,2230,2284,2212,2277.949951,2055.232178,2199377
